qseqid,sseqid,evalue,bitscore,pident,length,sgi,sacc,staxids,sscinames,scomnames
seq0,gi|2209200980|gb|MW803833.1|,9.249999999999999e-55,226.0,100.0,122,2209200980,MW803833,9606,Homo sapiens,human
seq11,gi|2166239622|dbj|LC662872.1|,0.009,54.7,100.0,29,2166239622,LC662872,1869227,bacterium,bacterium
seq11,gi|2166239622|dbj|LC662872.1|,0.009,54.7,100.0,29,2166239622,LC662872,1869227,bacterium,bacterium
seq12,gi|2329468040|gb|OP056802.1|,7.3100000000000005e-56,230.0,100.0,124,2329468040,OP056802,303945,Rhizoprionodon terraenovae,Atlantic sharpnose shark
seq14,gi|2582881342|emb|OY740818.1|,7.51e-58,237.0,89.529,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.52e-51,215.0,87.5,192,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.62e-48,204.0,86.387,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.62e-48,204.0,86.316,190,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.55e-46,198.0,85.864,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,4.59e-45,195.0,86.339,183,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.65e-44,193.0,85.34,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.65e-44,193.0,85.34,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.65e-44,193.0,85.34,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.65e-44,193.0,85.34,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,5.93e-44,191.0,85.946,185,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.13e-43,189.0,85.185,189,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.67e-43,187.0,84.817,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.67e-43,187.0,84.896,192,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.67e-43,187.0,84.817,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.67e-43,187.0,85.405,185,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.67e-43,187.0,85.405,185,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.67e-43,187.0,84.817,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.67e-43,187.0,84.817,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.67e-43,187.0,84.817,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.67e-43,187.0,84.817,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,9.93e-42,183.0,86.55,171,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,9.93e-42,183.0,85.246,183,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.57e-41,182.0,84.375,192,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.57e-41,182.0,84.293,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.57e-41,182.0,84.375,192,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.57e-41,182.0,84.293,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.57e-41,182.0,84.293,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.57e-41,182.0,84.656,189,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,4.62e-40,178.0,83.938,193,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.66e-39,176.0,83.77,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.66e-39,176.0,83.854,192,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.66e-39,176.0,83.854,192,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.66e-39,176.0,83.854,192,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.729999999999999e-38,171.0,83.246,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1e-36,167.0,83.246,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.6e-36,165.0,82.723,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.6e-36,165.0,83.243,185,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.29e-35,163.0,87.5,144,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,4.6500000000000004e-35,161.0,84.848,165,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.67e-34,159.0,82.199,191,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.16e-33,156.0,84.242,165,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.8e-32,152.0,81.771,192,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.0100000000000001e-31,150.0,87.786,131,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.62e-31,148.0,84.868,152,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,4.68e-30,145.0,82.184,174,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.18e-28,139.0,80.978,184,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.18e-28,139.0,83.66,153,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,7.84e-28,137.0,80.645,186,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.82e-27,135.0,87.826,115,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.82e-27,135.0,84.783,138,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.01e-26,134.0,84.507,142,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,6.0999999999999996e-24,124.0,79.894,189,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,6.0999999999999996e-24,124.0,85.366,123,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,4.75e-20,111.0,82.443,131,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.86e-17,102.0,89.873,79,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.86e-17,102.0,89.024,82,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.03e-16,100.0,95.238,63,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.7e-16,99.0,83.178,107,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.7e-16,99.0,89.744,78,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,3.7e-16,99.0,88.75,80,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,4.78e-15,95.3,93.651,63,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.72e-14,93.5,92.308,65,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,6.19e-14,91.6,93.443,61,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.04e-11,84.2,83.158,95,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.04e-11,84.2,90.476,63,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.34e-10,80.5,89.231,65,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,4.82e-10,78.7,92.593,54,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,4.82e-10,78.7,81.25,96,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.9e-07,69.4,91.837,49,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,2.9e-07,69.4,90.566,53,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq14,gi|2582881342|emb|OY740818.1|,1.04e-06,67.6,86.885,61,2582881342,OY740818,223862,Raja brachyura,blonde ray
seq15,gi|2228689023|gb|ON320554.1|,6.09e-23,121.0,87.736,106,2228689023,ON320554,2937294,Daphnia cf. similis USA_AAK-M4,Daphnia cf. similis USA_AAK-M4
seq16,gi|2166239622|dbj|LC662872.1|,1.26e-15,97.1,100.0,52,2166239622,LC662872,1869227,bacterium,bacterium
seq16,gi|2166239622|dbj|LC662872.1|,1.63e-14,93.5,100.0,50,2166239622,LC662872,1869227,bacterium,bacterium
seq18,gi|2329468040|gb|OP056802.1|,7.3100000000000005e-56,230.0,100.0,124,2329468040,OP056802,303945,Rhizoprionodon terraenovae,Atlantic sharpnose shark
seq19,gi|2647484270|gb|PP084266.1|,9.249999999999999e-55,226.0,100.0,122,2647484270,PP084266,9606,Homo sapiens,human
seq20,gi|2063319453|emb|LR536449.2|,3.62e-10,78.7,85.526,76,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,7.84e-07,67.6,81.111,90,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,91.489,47,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,2.82e-06,65.8,93.182,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,0.000131,60.2,97.143,35,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,0.000131,60.2,90.909,44,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,0.000472,58.4,97.059,34,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,0.002,56.5,94.444,36,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq20,gi|2063319453|emb|LR536449.2|,0.006,54.7,100.0,29,2063319453,LR536449,27687,Erpetoichthys calabaricus,reedfish
seq21,gi|1717438506|gb|CP031125.1|,6.460000000000001e-33,154.0,97.753,89,1717438506,CP031125,2268451,Candidatus Pelagibacter sp. FZCC0015,Candidatus Pelagibacter sp. FZCC0015
seq22,gi|959236254|emb|LN899827.1|,1.1099999999999999e-41,183.0,82.805,221,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.68e-39,174.0,82.174,230,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.12e-36,167.0,81.579,228,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,2.42e-33,156.0,80.804,224,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,8.7e-33,154.0,80.717,223,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,8.7e-33,154.0,80.603,232,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,4.05e-31,148.0,100.0,80,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.4599999999999999e-30,147.0,80.342,234,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,5.2399999999999995e-30,145.0,100.0,78,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,5.2399999999999995e-30,145.0,100.0,78,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,5.2399999999999995e-30,145.0,100.0,78,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,5.2399999999999995e-30,145.0,100.0,78,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,5.2399999999999995e-30,145.0,100.0,78,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,5.2399999999999995e-30,145.0,80.0,225,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,5.2399999999999995e-30,145.0,100.0,78,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,5.2399999999999995e-30,145.0,98.78,82,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,5.2399999999999995e-30,145.0,100.0,78,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,98.75,80,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,98.765,81,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,79.911,224,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,1.8800000000000002e-29,143.0,100.0,77,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,98.734,79,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,98.734,79,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
seq22,gi|959236254|emb|LN899827.1|,6.77e-29,141.0,100.0,76,959236254,LN899827,305,Ralstonia solanacearum,Ralstonia solanacearum
